Name,ChEBI,Family,Macrocomponent,Alternative Name,Model ID,Formula,ChEBI Name
Ins-1-P-6-Man-beta1-3-Ins-1-P-Cer(t18:0/2-OH-26:0)(2-),65206,M(IP)2C,,,mip2c326_SC_c,C62H119NO26P2,Ins-1-P-6-Man-beta1-3-Ins-1-P-Cer(t18:0/2-OH-26:0)(2-)
tetradecanoate,30807,Fatty Acids,,Tetradecanoate,ttdca_c,C14H27O2,tetradecanoate
hexadecanoate,7896,Fatty Acids,,Hexadecanoate,hdca_c,C16H31O2,hexadecanoate
hexadecenoate,78095,Fatty Acids,,Hexadecenoate,hdcea_c,C16H29O2,hexadecenoate
octadecanoate,25629,Fatty Acids,,Octadecanoate,ocdca_c,C18H35O2,octadecanoate
octadecenoate,78049,Fatty Acids,,Octadecenoate,ocdcea_c,C18H33O2,octadecenoate
octadecadienoate,25626,Fatty Acids,,Octadecadienoate,ocdcya_c,C18H31O2,octadecadienoate
octadecatrienoate,36434,Fatty Acids,,Octadecatrienoate,lnlnca_c,C18H29O2,octadecatrienoate
cerotate,31013,Fatty Acids,,hexacosanoate,hexc_c,C26H51O2,cerotate
NADH,16908,Cofactors,,,nadh_c,C21H29N7O14P2,NADH
NAD(+),15846,Cofactors,,,nad_c,C21H28N7O14P2,NAD(+)
NADP(+),18009,Cofactors,,,nadp_c,C21H29N7O17P3,NADP(+)
NADPH,16474,Cofactors,,,nadph_c,C21H30N7O17P3,NADPH
coenzyme A,15346,Cofactors,,,coa_c,C21H36N7O16P3S,coenzyme A
oxolane,26911,Cofactors,,THF,thf_c,C4H8O,oxolane
TDP,61377,Cofactors,,,dtdp_c,C10H16N2O12P2,TDP
FAD,16238,Cofactors,,,fad_c,C27H33N9O15P2,FAD
ATP,15422,Cofactors,,,atp_c,C10H12N5O13P3,ATP
phosphate(3-),18367,Cofactors,,Pi,pi_c,O4P,phosphate(3-)
water,15377,Cofactors,,H2O,h2o_c,H2O,water
hydron,15378,Cofactors,,H,h_c,H,hydron
ADP,16761,Cofactors,,ADP,adp_c,C10H15N5O10P2,ADP
